# Derived from Denver Water Design Storm data; Denver Water's data terms apply (see TERMS.md in this folder). Readings are provisional.
DATE,sonde_temp_surf,sonde_cond_surf,sonde_turb_surf,sonde_temp_bot,sonde_cond_bot,sonde_turb_bot,sonde_temp_all,sonde_cond_all,sonde_turb_all,sonde_turb_max,sonde_chl_surf,sonde_do_all,sonde_ph_all,sonde_strat
2026-04-07,9.827900000000001,223.20100000000002,2.003,4.6996363636363645,208.61,28.24181818181818,6.820541666666666,212.6307291666667,8.179791666666667,113.17,0.5760000000000001,9.350416666666666,7.967708333333333,5.128263636363637
2026-04-08,9.694550000000001,222.987,1.8125000000000004,4.744049999999999,209.719,10.104000000000003,6.895359375000001,213.30036458333333,2.954895833333333,75.65,0.6415,9.268593749999999,8.007395833333334,4.950500000000003
2026-04-09,9.636650000000001,223.77849999999998,1.924,4.8021,295.56,18.2675,6.944649214659686,222.7442408376963,4.021780104712041,184.67,0.8074999999999999,9.249947643979057,7.967591623036649,4.834550000000001
2026-04-10,9.71,225.1425,1.7810000000000001,4.842842105263158,208.19315789473683,13.576842105263157,7.04675,214.67557291666665,3.416354166666667,192.82,1.0154999999999998,9.229531249999999,7.96171875,4.867157894736843
2026-04-28,10.705733333333336,236.602,3.158,6.8374999999999995,232.7825,370.67249999999996,8.258900709219859,223.51156028368797,52.81815602836879,2438.23,0.5786666666666667,8.470638297872341,7.891843971631205,3.868233333333337
2026-04-29,10.68685,236.224,1.7835000000000005,6.889047619047618,216.69523809523812,2.9657142857142857,8.280780104712042,222.2329319371728,2.003350785340314,10.5,0.6459999999999999,8.668219895287958,7.940837696335078,3.7978023809523815
2026-04-30,10.478466666666668,234.06866666666662,1.7113333333333332,6.922133333333333,216.84333333333336,2.256666666666667,8.269222222222222,221.85305555555556,1.7990972222222221,3.66,0.6560000000000001,8.688263888888889,7.94826388888889,3.5563333333333347
2026-05-01,10.19,231.48250000000002,1.6625,6.95415,216.56449999999995,1.85,8.217067708333333,220.95078125,1.6736458333333335,2.53,0.48599999999999993,8.7475,7.943593750000001,3.2358499999999992
2026-05-02,10.3338,232.31599999999997,1.528,6.9976,217.93800000000002,1.9380000000000002,8.250520833333333,221.1735416666667,1.6337499999999998,2.22,0.342,8.710208333333334,7.945,3.3362
2026-05-04,10.564800000000002,232.102,3.2039999999999997,7.027799999999999,234.598,165.93200000000002,8.442914893617019,223.57723404255321,20.396808510638298,647.73,0.07600000000000001,8.247446808510636,7.688723404255318,3.5370000000000026
2026-05-05,10.587,231.558,4.296000000000001,7.003666666666667,517.4983333333332,452.7583333333334,8.4110625,258.4977083333333,63.408125000000005,2184.11,0.252,7.609999999999999,7.653125,3.583333333333333
2026-05-14,14.6782,241.07200000000003,1.2639999999999998,7.464999999999999,213.121,1.97,9.511579545454545,219.4055681818182,1.6979545454545453,2.4,-0.11800000000000002,8.417613636363637,7.527613636363637,7.213200000000001
2026-05-15,15.1376,243.798,1.166,7.5455999999999985,219.91,1.7760000000000002,9.658681818181819,220.70795454545458,1.5802272727272728,2.03,-0.124,8.571136363636363,7.595227272727272,7.592000000000002
2026-05-18,12.709333333333335,245.8046666666667,1.6673333333333331,7.7077333333333335,213.78600000000003,1.418,9.935825757575758,228.73704545454544,1.5068939393939393,1.91,1.4560000000000002,8.341742424242424,7.882121212121213,5.001600000000002
2026-05-19,12.100904761904761,243.06095238095236,1.613333333333333,7.755899999999999,213.6565,1.3545000000000003,9.819892655367232,227.33745762711862,1.461186440677966,1.77,1.2719047619047619,8.443898305084746,7.897909604519774,4.345004761904763
2026-05-20,11.852136363636362,241.53454545454545,1.539090909090909,7.83305,213.67199999999997,1.3384999999999998,9.729629213483147,226.07735955056182,1.4123033707865167,1.85,1.1327272727272726,8.50623595505618,7.891573033707865,4.019086363636362
2026-05-21,11.785842105263157,240.53684210526316,1.39,7.9266499999999995,214.51399999999998,1.2639999999999998,9.785704545454546,226.16147727272727,1.3539772727272725,2.15,1.1826315789473685,8.557215909090909,7.893522727272727,3.8591921052631575
2026-05-22,11.8926,240.56599999999997,1.2445,7.9777000000000005,214.449,1.2369999999999999,9.949982954545453,226.589375,1.3358522727272726,1.63,1.1364999999999998,8.555,7.889147727272728,3.9148999999999994
2026-05-23,12.666949999999998,239.89200000000005,1.1044999999999998,8.07845,215.221,1.2595,10.194926136363636,227.0009659090909,1.3205681818181818,1.71,1.3005000000000002,8.556306818181817,7.8871590909090905,4.588499999999998
2026-05-24,13.452549999999999,240.01200000000003,1.0939999999999999,8.3024,216.41750000000002,1.322,10.496181818181817,227.39642045454548,1.323125,1.63,1.4205,8.534034090909092,7.886931818181818,5.150149999999998
2026-05-25,13.962250000000001,242.075,1.0564999999999998,8.8261,219.71749999999997,1.4520000000000002,10.776045454545455,228.219375,1.3398863636363636,1.78,1.565,8.52534090909091,7.894431818181818,5.136150000000001
2026-05-26,14.319749999999999,244.3295,1.0345,9.23895,222.47899999999998,1.539,11.022426136363636,229.29437499999997,1.3369886363636363,1.75,1.752,8.513352272727273,7.894829545454545,5.080799999999998
2026-05-27,14.413199999999998,244.79,1.0106666666666666,9.420562499999999,223.670625,1.5525,11.15723484848485,229.90454545454546,1.3304545454545456,2.09,2.0513333333333335,8.493863636363637,7.899772727272727,4.992637499999999
2026-05-28,14.265650000000003,243.987,1.0145000000000002,9.55465,224.24300000000002,1.424,11.247704545454546,229.8819318181818,1.325965909090909,1.78,1.592,8.495113636363635,7.888465909090908,4.711000000000002
2026-05-29,15.335849999999999,248.16400000000004,1.2224999999999997,9.684600000000001,225.0645,1.3924999999999998,11.575267045454545,230.90221590909093,1.3514204545454545,1.96,1.6110000000000002,8.480511363636364,7.8774431818181805,5.651249999999997
2026-05-30,15.5833,248.11399999999998,1.2585,9.77835,225.43250000000003,1.3789999999999998,11.882352272727275,230.94386363636366,1.454715909090909,2.94,1.5855,8.433750000000002,7.889261363636364,5.80495
2026-05-31,15.580250000000001,247.39299999999997,1.1729999999999998,9.875350000000001,225.875,1.4949999999999999,12.091397727272726,230.27380681818184,1.576988636363636,2.49,1.528,8.368636363636362,7.864375000000001,5.7049
2026-06-01,15.50575,246.08950000000004,1.1294999999999997,9.97905,226.2265,1.5895,12.225920454545452,230.0475568181818,1.5686363636363636,2.31,1.3835000000000002,8.314204545454546,7.862897727272727,5.5267
2026-06-02,15.895150000000001,248.45449999999997,1.0185000000000002,10.1111,226.33450000000002,1.5565000000000002,12.589488636363637,231.48221590909088,1.5302840909090911,2.08,1.1745,8.26659090909091,7.8559659090909095,5.784050000000001
2026-06-03,16.137900000000002,250.34099999999998,0.925,10.355450000000001,226.3895,1.501,12.92102272727273,233.06051136363638,1.514659090909091,2.02,1.074,8.243238636363635,7.841079545454545,5.782450000000001
2026-06-04,15.771736842105264,248.4978947368421,0.8778947368421053,10.75225,226.18199999999996,1.5134999999999998,12.959579545454547,233.16323863636362,1.5638068181818183,2.36,1.0642105263157895,8.241363636363637,7.853977272727274,5.019486842105264
2026-06-05,15.594650000000001,248.173,0.8630000000000001,11.3118,226.331,1.7269999999999999,13.02011931818182,233.63323863636361,1.568409090909091,1.96,0.8634999999999999,8.244772727272727,7.860056818181818,4.282850000000002
2026-06-06,15.978950000000003,251.417,0.8315000000000001,11.7697,226.50650000000002,1.7944999999999998,13.201636363636363,235.35329545454545,1.5080681818181818,1.98,0.9605,8.274829545454546,7.841818181818181,4.209250000000003
2026-06-07,16.038549999999997,252.84099999999998,0.8204999999999998,12.13875,229.10350000000003,1.7904999999999998,13.358517045454546,237.36215909090907,1.4545454545454546,2.06,0.9380000000000001,8.290852272727273,7.865284090909091,3.8997999999999973
2026-06-08,15.912600000000001,253.74899999999997,0.8450000000000001,12.33195,232.07750000000001,1.7745000000000002,13.447488636363635,239.26085227272725,1.4273863636363637,2.03,0.8785000000000001,8.300454545454544,7.884261363636364,3.5806500000000003
2026-06-09,16.33335,257.133,0.8115,12.46545,233.53700000000003,1.7830000000000001,13.603642045454546,241.1132386363636,1.3701704545454545,2.02,0.983,8.278125,7.868636363636363,3.867899999999999
2026-06-10,16.53415,259.1315000000001,0.8115,12.562700000000001,234.80399999999995,1.7209999999999996,13.691801136363635,242.6006818181818,1.326818181818182,1.9,1.13,8.25596590909091,7.887272727272727,3.971449999999999
2026-06-11,16.670849999999998,261.0685,0.774,12.64125,236.433,1.7594999999999998,13.820443181818183,244.32670454545453,1.287159090909091,2.2,1.2894999999999999,8.210795454545455,7.888238636363636,4.0295999999999985
2026-06-12,16.695449999999997,262.3815000000001,0.7484999999999999,12.731300000000001,237.52399999999997,1.677,13.906681818181818,245.7659659090909,1.2578977272727272,2.16,1.1205,8.16653409090909,7.885227272727272,3.9641499999999965
2026-06-13,16.735,263.8245,0.7370000000000001,12.815000000000001,238.61649999999995,1.6035,13.991948863636365,247.42903409090906,1.2381818181818183,1.74,1.1960000000000002,8.14090909090909,7.865795454545455,3.919999999999998
2026-06-14,16.0397,263.079,0.9084999999999999,12.920850000000002,240.45249999999996,1.5895,13.951392045454543,248.90022727272728,1.259318181818182,1.81,0.9625,8.13721590909091,7.873920454545455,3.1188499999999983
2026-06-15,16.107733333333336,262.4073333333333,0.7926666666666666,13.023466666666668,240.00066666666666,1.4293333333333333,14.034742424242424,248.3900757575758,1.1483333333333332,1.8,0.6526666666666665,8.003560606060608,7.966363636363636,3.084266666666668
2026-06-16,16.53684210526316,261.1773684210526,0.4878947368421052,13.099900000000002,238.1425,1.3195000000000001,14.082278409090911,245.89352272727274,0.9713068181818181,1.51,-0.15578947368421056,7.751704545454547,8.06653409090909,3.4369421052631566
2026-06-17,16.6469,262.9585,0.48650000000000004,13.187899999999999,241.18399999999997,1.3664999999999998,14.122619318181819,247.3190340909091,1.010568181818182,1.91,-0.16999999999999998,7.814715909090908,8.080170454545454,3.4589999999999996
2026-06-18,16.941000000000003,265.8945,0.48649999999999993,13.251349999999997,243.25150000000002,1.379,14.27153409090909,249.14227272727274,0.9782386363636363,2.15,-0.1615,7.845113636363636,8.092613636363636,3.6896500000000056
2026-06-19,17.5185,270.63800000000003,0.4465,13.31935,244.60099999999997,1.6375,14.545232954545456,251.73142045454543,0.9642613636363637,2.9,-0.161,7.821875,8.09875,4.1991499999999995
2026-06-20,17.199800000000003,269.71600000000007,0.43900000000000006,13.3868,245.44850000000002,1.569,14.506818181818181,252.470625,0.9732954545454546,2.71,-0.15850000000000003,7.797272727272728,8.092954545454544,3.813000000000004
2026-06-21,16.73365,267.8375,0.4835,13.4536,245.71249999999995,1.456,14.465437500000002,252.98392045454545,0.9587500000000001,2.55,-0.15750000000000003,7.796420454545455,8.095056818181819,3.280050000000001
2026-06-22,16.506900000000005,266.9744999999999,0.4685,13.529050000000002,246.42199999999997,1.373,14.458420454545456,253.83721590909093,0.9652272727272727,2.14,-0.118,7.762045454545455,8.092045454545454,2.9778500000000037
2026-06-23,16.490210526315792,267.42210526315785,0.46526315789473677,13.634949999999998,249.26549999999997,1.4175,14.475829545454546,254.93249999999998,0.9694886363636364,2.06,-0.1163157894736842,7.758295454545455,8.094545454545454,2.855260526315794
2026-06-24,17.1541,272.192,0.332,13.6942,251.37500000000006,1.6789999999999998,14.648812499999998,256.6918181818182,0.9667045454545454,3.01,-0.1555,7.759829545454545,8.104545454545454,3.4598999999999993
2026-06-25,17.434050000000003,274.88500000000005,0.352,13.748649999999998,252.36499999999995,2.1175,14.857431818181816,258.64659090909095,0.9653409090909091,3.7,-0.154,7.736420454545454,8.11028409090909,3.685400000000005
2026-06-26,17.57575,276.4475,0.38150000000000006,13.8031,252.82050000000004,2.4615,15.0504375,260.32045454545454,0.9711363636363637,3.99,-0.151,7.691704545454545,8.10931818181818,3.7726499999999987
2026-06-27,17.91675,278.96999999999997,0.38150000000000006,13.886750000000001,253.40949999999998,2.6309999999999993,15.239755681818183,261.6192045454545,0.9552272727272727,3.82,-0.138,7.643863636363636,8.108920454545455,4.029999999999999
2026-06-28,17.912399999999998,279.276,0.32249999999999995,14.003099999999998,254.90800000000004,2.6450000000000005,15.313784090909088,262.013125,0.9571022727272727,3.8,-0.10450000000000001,7.591931818181817,8.106875,3.9093
2026-06-29,18.128999999999998,280.9175,0.343,14.136100000000003,255.599,2.75,15.48705681818182,263.0841477272727,0.957215909090909,3.9,-0.13999999999999996,7.572102272727273,8.124772727272727,3.9928999999999952
2026-06-30,18.16042105263158,281.40263157894736,0.3057894736842105,14.246599999999997,256.31,2.6734999999999998,15.530874999999998,263.624375,0.9755681818181817,4.07,-0.04,7.49625,8.117329545454545,3.913821052631583
2026-07-01,17.81885,279.4015,0.2655,14.423849999999998,257.86,2.2944999999999998,15.44328409090909,263.68448863636365,1.0013636363636365,3.37,0.0009999999999999996,7.434659090909091,8.10590909090909,3.395000000000003
2026-07-02,17.2685,275.9705,0.388,14.587050000000001,260.0025,2.0515000000000003,15.360761363636362,263.8501704545455,1.023068181818182,3.25,-0.0645,7.462840909090909,8.13034090909091,2.681449999999998
2026-07-03,17.336473684210524,276.6926315789474,0.38526315789473686,14.645,260.9055,1.9675000000000005,15.35772159090909,264.2655113636364,1.0361931818181818,3.27,-0.10526315789473684,7.505624999999998,8.139318181818181,2.691473684210525
2026-07-04,17.195149999999998,276.45650000000006,0.413,14.644599999999997,261.512,1.9500000000000004,15.285357954545454,264.3313068181818,1.0776136363636364,3.14,-0.0935,7.526590909090908,8.142272727272728,2.550550000000001
2026-07-05,17.026049999999998,275.698,0.4095000000000001,14.585400000000002,261.91299999999995,1.936,15.193073863636362,264.34079545454546,1.1143181818181818,3.07,-0.060499999999999984,7.56221590909091,8.145738636363637,2.440649999999996
2026-07-06,17.01495,276.02950000000004,0.418,14.48405,261.857,1.8589999999999995,15.087011363636366,264.2096590909091,1.1497159090909093,3.16,-0.0965,7.577102272727271,8.145625,2.530899999999999
2026-07-07,16.9278,275.826,0.45199999999999996,14.4171,261.93449999999996,1.8224999999999998,15.002732954545456,264.30471590909093,1.1855681818181818,3.04,-0.025500000000000005,7.595113636363638,8.155,2.5107000000000017
2026-07-08,16.756473684210523,275.18684210526317,0.44421052631578944,14.3552,262.03049999999996,1.8729999999999998,14.898698863636362,264.180625,1.205852272727273,3.0,-0.04631578947368422,7.605397727272727,8.160056818181818,2.4012736842105227
2026-07-09,16.807333333333336,275.81733333333335,0.44,14.337133333333334,262.046,2.0246666666666666,14.897568181818182,264.41840909090917,1.2274242424242423,3.25,-0.04533333333333334,7.583863636363636,8.156818181818181,2.470200000000002
2026-07-13,18.239399999999996,284.84666666666664,0.9873333333333334,14.356,260.044,3.3160000000000003,15.79058181818182,269.0152727272727,1.533272727272727,5.16,0.10600000000000002,7.501818181818181,8.15618181818182,3.8833999999999964
2026-07-14,18.57435,287.04650000000004,0.869,14.398692307692304,260.3076923076923,3.9092307692307693,15.55673188405797,267.26195652173914,1.631449275362319,5.55,0.3985,7.447028985507247,8.12985507246377,4.175657692307695
2026-07-15,18.979437499999996,289.90937499999995,0.9275,14.4448,260.99,4.006,16.267107142857146,271.72392857142853,1.4926785714285715,5.54,0.3025,7.4417857142857144,8.150714285714285,4.534637499999995
2026-07-16,19.28295,291.5825000000001,0.89,14.404857142857143,261.3614285714285,4.4435714285714285,15.946208633093526,269.4184892086331,1.6218705035971224,6.14,0.4955,7.3989928057553955,8.13201438848921,4.878092857142857
2026-07-17,19.3832,291.78599999999994,1.02,14.308066666666667,261.57133333333326,4.706,15.956078014184396,269.60546099290787,1.8058156028368795,6.25,0.8314999999999999,7.355177304964538,8.120567375886527,5.075133333333332
2026-07-18,18.8987,286.82800000000003,1.0545,14.338999999999997,261.866,5.040000000000001,15.790460992907802,266.8756028368794,2.1218439716312054,7.0,0.628,7.26304964539007,8.088014184397164,4.559700000000005
2026-07-19,18.859450000000002,284.6905,1.055,14.399550000000001,261.83599999999996,5.350499999999999,15.701229050279332,265.06966480446926,2.3514525139664806,7.13,1.1295,7.291508379888267,8.072122905027932,4.459900000000001
2026-07-20,18.94515789473684,284.00684210526316,1.2857894736842106,14.704600000000003,263.49399999999997,1.734,16.234118811881185,267.22287128712867,1.7795049504950493,4.86,1.3436842105263158,7.488811881188119,7.993564356435644,4.240557894736838
2026-07-21,19.034549999999996,282.9775000000001,1.134,14.786500000000002,263.29333333333335,1.6916666666666667,16.26765693430657,266.4149635036497,1.6834306569343065,2.27,1.1235,7.5476642335766435,8.002992700729928,4.248049999999994
2026-07-22,19.16073684210527,282.5478947368421,1.0610526315789475,14.852699999999999,263.36,1.6829999999999998,16.50279207920792,267.1275247524752,1.6314851485148512,2.08,1.0973684210526315,7.522970297029704,7.98920792079208,4.30803684210527
2026-07-23,18.7502,278.09700000000004,1.1265,14.941642857142858,263.3457142857143,1.7635714285714283,16.276257142857144,264.35335714285713,2.420642857142857,11.67,1.2085000000000001,7.475642857142859,7.949071428571429,3.8085571428571416
2026-07-24,18.85835,278.0235,1.0775000000000001,15.056866666666668,262.40400000000005,1.859333333333333,16.292857142857144,263.0443571428571,2.796785714285714,7.32,1.1175,7.469428571428572,7.942500000000002,3.8014833333333335
2026-07-25,19.327199999999998,281.04949999999997,0.9705,15.15335,261.65600000000006,1.9329999999999998,16.30808888888889,262.20977777777773,2.392111111111111,4.39,1.3869999999999998,7.464555555555555,7.93227777777778,4.173849999999998
2026-07-26,18.9043,277.41849999999994,1.073,15.2977,260.94899999999996,1.922,16.51307,262.4362,2.1763,3.34,1.4005000000000003,7.4955,7.954199999999999,3.6065999999999985
2026-07-27,19.265900000000002,279.8380000000001,0.9824999999999999,15.371100000000002,260.049,1.905,16.67157,263.12109999999996,1.9857000000000002,3.18,1.2814999999999999,7.511699999999999,7.951699999999999,3.8948
2026-07-28,19.227166666666662,279.15055555555557,0.9599999999999999,15.4643,258.983,2.027,16.64644897959184,262.3554081632653,1.916326530612245,2.92,1.2133333333333334,7.51030612244898,7.968673469387754,3.762866666666662
2026-07-29,19.082249999999995,277.98049999999995,0.9795,15.525160000000001,257.6936,2.0972,16.34731818181818,259.9588636363637,2.4777727272727277,5.99,1.2800000000000002,7.493454545454545,7.932954545454545,3.5570899999999934
