lag,lag_seconds,mean_cv_mae
0 days 00:00:00,0.0,4.2245280583661255
1 days 00:00:00,86400.0,4.2080686487269015
2 days 00:00:00,172800.0,4.200435711753674
3 days 00:00:00,259200.0,4.190972757350361
4 days 00:00:00,345600.0,4.176616383668572
5 days 00:00:00,432000.0,4.191845251898686
6 days 00:00:00,518400.0,4.213805228884468
7 days 00:00:00,604800.0,4.240626358377585
