target,method,eligible_days,onsets,flags,true_positives,base_rate,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,sufficient_by_rule
toc,clf_logit,516,4,42,3,0.007751937984496124,0.07142857142857142,0.024590409681716163,0.1900942692413506,0.75,0.3006418400969081,0.954412739704631,False
toc,clf_rfc,516,4,11,1,0.007751937984496124,0.09090909090909091,0.016232172705325593,0.3773584391082959,0.25,0.04558726029536886,0.6993581599030918,False
toc,reg_lab_blind_jake_ref_rf,516,4,19,1,0.007751937984496124,0.05263157894736842,0.009351993958601784,0.24638731374732356,0.25,0.04558726029536886,0.6993581599030918,False
toc,reg_lab_known_ABCD_rf,516,4,12,3,0.007751937984496124,0.25,0.08894166769488562,0.5323053370816633,0.75,0.3006418400969081,0.954412739704631,False
alk,clf_logit,271,30,47,13,0.11070110701107011,0.2765957446808511,0.16936563302126245,0.4175856374166977,0.43333333333333335,0.27377485469947366,0.6080269312687199,True
alk,clf_rfc,271,30,80,26,0.11070110701107011,0.325,0.23244161780248174,0.4335947277763468,0.8666666666666667,0.7031867316460598,0.9469034455288754,True
alk,reg_lab_blind_BCD_ridge,271,30,41,17,0.11070110701107011,0.4146341463414634,0.27756549360403493,0.5663289698091571,0.5666666666666667,0.39197306873128,0.7262251453005263,True
alk,reg_lab_known_ABC_rf,271,30,5,1,0.11070110701107011,0.2,0.03622410822563066,0.6244653729700049,0.03333333333333333,0.005908590316197976,0.16670391146115726,True
