sonde_feature,target,lag_days,spearman_rho,n
sonde_cond_surf,TOC_mg_L,3,-0.4223127789100959,101
sonde_cond_surf,Alk_mg_L,3,-0.3813798911407678,101
sonde_turb_surf,TOC_mg_L,3,-0.0998569021534694,101
sonde_turb_surf,Alk_mg_L,3,-0.04097243406741003,101
sonde_temp_bot,TOC_mg_L,3,-0.5349411400053408,101
sonde_temp_bot,Alk_mg_L,3,-0.4633359334315847,101
sonde_cond_bot,TOC_mg_L,3,-0.4789725558482929,101
sonde_cond_bot,Alk_mg_L,3,-0.23214276181436366,101
sonde_turb_bot,TOC_mg_L,3,-0.5235980875856067,101
sonde_turb_bot,Alk_mg_L,3,-0.17265406031041308,101
sonde_temp_all,TOC_mg_L,3,-0.5520646898618087,101
sonde_temp_all,Alk_mg_L,3,-0.5171421607985156,101
sonde_cond_all,TOC_mg_L,3,-0.45275531314070666,101
sonde_cond_all,Alk_mg_L,3,-0.29699452914315044,101
sonde_turb_all,TOC_mg_L,3,-0.42809475678370845,101
sonde_turb_all,Alk_mg_L,3,-0.26153927797867,101
sonde_turb_max,TOC_mg_L,3,-0.4321015135810892,101
sonde_turb_max,Alk_mg_L,3,-0.12473674268725801,101
sonde_chl_surf,TOC_mg_L,3,-0.06253509768393047,101
sonde_chl_surf,Alk_mg_L,3,-0.4795531846048662,101
sonde_do_all,TOC_mg_L,3,0.5484524562838035,101
sonde_do_all,Alk_mg_L,3,0.3517794752408787,101
sonde_ph_all,TOC_mg_L,3,-0.22020199933008627,101
sonde_ph_all,Alk_mg_L,3,0.0665703508144131,101
sonde_strat,TOC_mg_L,3,0.35835641035176835,101
sonde_strat,Alk_mg_L,3,-0.09872825196918342,101
sonde_temp_surf,TOC_mg_L,4,-0.5362675907238325,100
sonde_temp_surf,Alk_mg_L,4,-0.5072042501589381,100
sonde_cond_surf,TOC_mg_L,4,-0.46750248505880787,100
sonde_cond_surf,Alk_mg_L,4,-0.39903725065461604,100
sonde_turb_surf,TOC_mg_L,4,-0.06880264202834897,100
sonde_turb_surf,Alk_mg_L,4,-0.020990081964042336,100
sonde_temp_bot,TOC_mg_L,4,-0.5410379611096281,100
sonde_temp_bot,Alk_mg_L,4,-0.4749960419940088,100
sonde_cond_bot,TOC_mg_L,4,-0.539416901393573,100
sonde_cond_bot,Alk_mg_L,4,-0.262185378466694,100
sonde_turb_bot,TOC_mg_L,4,-0.5482384723264668,100
sonde_turb_bot,Alk_mg_L,4,-0.13941826308869204,100
sonde_temp_all,TOC_mg_L,4,-0.5671172233354764,100
sonde_temp_all,Alk_mg_L,4,-0.527341883105889,100
sonde_cond_all,TOC_mg_L,4,-0.47035480768896587,100
sonde_cond_all,Alk_mg_L,4,-0.3417455348636636,100
sonde_turb_all,TOC_mg_L,4,-0.44392287216611315,100
sonde_turb_all,Alk_mg_L,4,-0.21470138018254262,100
sonde_turb_max,TOC_mg_L,4,-0.48258397250532004,100
sonde_turb_max,Alk_mg_L,4,-0.12458582780334629,100
sonde_chl_surf,TOC_mg_L,4,-0.06404133180391157,100
sonde_chl_surf,Alk_mg_L,4,-0.47218839395807666,100
sonde_do_all,TOC_mg_L,4,0.5491185106866051,100
sonde_do_all,Alk_mg_L,4,0.3528197324157126,100
sonde_ph_all,TOC_mg_L,4,-0.23233745571597417,100
sonde_ph_all,Alk_mg_L,4,-0.004375658544955929,100
sonde_strat,TOC_mg_L,4,0.29422852571482616,100
sonde_strat,Alk_mg_L,4,-0.05274199126821365,100
sonde_temp_surf,TOC_mg_L,5,-0.5557657802223871,99
sonde_temp_surf,Alk_mg_L,5,-0.4889055394817501,99
sonde_cond_surf,TOC_mg_L,5,-0.4846531877967706,99
sonde_cond_surf,Alk_mg_L,5,-0.39182344247881995,99
sonde_turb_surf,TOC_mg_L,5,-0.04285801573281468,99
sonde_turb_surf,Alk_mg_L,5,-0.019903375739801915,99
sonde_temp_bot,TOC_mg_L,5,-0.5498556868292691,99
sonde_temp_bot,Alk_mg_L,5,-0.4627575833181598,99
sonde_cond_bot,TOC_mg_L,5,-0.4507116363231188,99
sonde_cond_bot,Alk_mg_L,5,-0.26226517564886137,99
sonde_turb_bot,TOC_mg_L,5,-0.5571748201461866,99
sonde_turb_bot,Alk_mg_L,5,-0.09478122147586675,99
sonde_temp_all,TOC_mg_L,5,-0.5777339675432426,99
sonde_temp_all,Alk_mg_L,5,-0.49757203737273425,99
sonde_cond_all,TOC_mg_L,5,-0.46668675917730273,99
sonde_cond_all,Alk_mg_L,5,-0.3395832035856286,99
sonde_turb_all,TOC_mg_L,5,-0.4442207454151263,99
sonde_turb_all,Alk_mg_L,5,-0.19132484887241158,99
sonde_turb_max,TOC_mg_L,5,-0.47840467932419967,99
sonde_turb_max,Alk_mg_L,5,-0.10168915088753078,99
sonde_chl_surf,TOC_mg_L,5,0.01385621212892972,99
sonde_chl_surf,Alk_mg_L,5,-0.47930644717495,99
sonde_do_all,TOC_mg_L,5,0.5575337023281038,99
sonde_do_all,Alk_mg_L,5,0.34266380026636384,99
sonde_ph_all,TOC_mg_L,5,-0.23100423355347022,99
sonde_ph_all,Alk_mg_L,5,-0.016831934876065564,99
sonde_strat,TOC_mg_L,5,0.23861204275929815,99
sonde_strat,Alk_mg_L,5,-0.027842902931705663,99
