target,baseline,fold,n,mae,mae_lo,mae_hi,rmse,mae_persistence,skill_vs_persistence,skill_lo,skill_hi,dm_stat,dm_p
toc,persistence,test2023,185,0.0972972972972973,0.05593918918918919,0.16216891891891888,0.27719638857286333,0.0972972972972973,0.0,0.0,0.0,,
toc,climatology,test2023,185,0.9369627890714847,0.47333186911697783,1.6099559525453002,1.4892144289272846,0.0972972972972973,-8.629895332123592,-13.256180461703892,-5.3843305136414825,3.7526026808217203,0.0002344588171625105
toc,persistence_drift,test2023,185,0.14270270270270272,0.08702027027027032,0.23838513513513512,0.3700620839074789,0.0972972972972973,-0.4666666666666668,-0.6751721466689621,-0.23697487597287425,2.6795001619488024,0.008041842243087453
toc,persistence,test2024,112,0.08303571428571428,0.035714285714285685,0.16877232142857132,0.19295632370343002,0.08303571428571428,0.0,0.0,0.0,,
toc,climatology,test2024,112,0.49563439340554094,0.35607421057913163,0.6855861607142857,0.6041735424264222,0.08303571428571428,-4.968930329185009,-10.963590135613781,-2.3704837457671166,6.997801377569769,2.081805062708501e-10
toc,persistence_drift,test2024,112,0.1357142857142857,0.06785714285714287,0.25629464285714265,0.276457178290909,0.08303571428571428,-0.6344086021505375,-1.1578947368421058,-0.3757655350537355,3.1719499844202863,0.0019584081017089586
toc,persistence,test2025,205,0.04634146341463411,0.03951219512195116,0.05853658536585361,0.07682733253465356,0.04634146341463411,0.0,0.0,0.0,,
toc,climatology,test2025,205,0.586875427831574,0.38015550400394077,0.884983333333333,0.7873339707626119,0.04634146341463411,-11.664153968997132,-16.7159946266198,-7.2190233398626145,5.199295576425485,4.846184749690022e-07
toc,persistence_drift,test2025,205,0.07951219512195117,0.06731707317073166,0.09902439024390236,0.11790860453923718,0.04634146341463411,-0.7157894736842108,-0.9114017125837675,-0.47861356932153365,6.591505180478767,3.6465375555940147e-10
toc,persistence,test2026,131,0.07022900763358775,0.03893129770992362,0.1022900763358778,0.16806033086115324,0.07022900763358775,0.0,0.0,0.0,,
toc,climatology,test2026,131,0.8384082057990957,0.613215221714005,1.2056412531806615,0.9716027036651236,0.07022900763358775,-10.938203799965391,-28.048055034982546,-5.748905656768557,6.274545173834838,4.81575017566449e-09
toc,persistence_drift,test2026,131,0.13358778625954193,0.07786259541984725,0.19465648854961823,0.2775299997538262,0.07022900763358775,-0.9021739130434785,-1.1428571428571432,-0.8152073268921094,4.046164870484313,8.879772713596367e-05
toc,persistence,POOLED,633,0.07266982622432858,0.05315758293838859,0.0966864139020537,0.1918357314665299,0.07266982622432858,0.0,0.0,0.0,,
toc,climatology,POOLED,633,0.7251028526142171,0.54168275077359,0.9365730918532384,1.0530272179166067,0.07266982622432858,-8.978045776191294,-12.374556342425299,-6.43003299266957,6.939271339023143,9.786748212856212e-12
toc,persistence_drift,POOLED,633,0.11911532385466031,0.08988546603475506,0.15505726698262237,0.27200908357660275,0.07266982622432858,-0.6391304347826086,-0.7910488764966381,-0.5003872120730741,6.813249523649665,2.2278336479900525e-11
