target,novelty_bin,days,mae,spearman_rho,spearman_p
toc,0,65,0.058892729140136234,0.11001350404374506,0.005591400088212459
toc,1-2,144,0.05818341063548807,0.11001350404374506,0.005591400088212459
toc,3-5,157,0.06524802454862685,0.11001350404374506,0.005591400088212459
toc,>5,267,0.10419776342643443,0.11001350404374506,0.005591400088212459
alk,0,65,1.2586674307329806,0.03080701421588069,0.43908427366445435
alk,1-2,144,1.402094459736084,0.03080701421588069,0.43908427366445435
alk,3-5,157,1.6697500176813527,0.03080701421588069,0.43908427366445435
alk,>5,267,1.6121184140442646,0.03080701421588069,0.43908427366445435
